name_correct,name_wrong,abd_site1,abd_site2,abd_site3,abd_site4,abd_site5
Aralia nudicaulis,Aralia nudicolis,70,57,104,149,136
Chimaphila umbellata,Chimaphila umbelleta,13,82,115,194,239
Clintonia borealis,Clintonia borealus,278,202,291,145,130
Cornus canadensis,Cornuus canadensis,254,207,94,58,126
Cypripedium acaule,Cypripidium acaule,81,293,75,183,252
Linnaea borealis,Linnaea borealus,17,4,231,283,116
Maianthemum canadense,Maianthamum canadense,20,282,167,99,61
Medeola virginiana,Medeola virgyniana,172,215,233,123,18
Oxalis montana,Oxalis montanna,191,126,31,111,2
Pyrola secunda,Pyrola seecunda,256,298,220,117,203
Trientalis borealis,Trientalis borealus,134,211,20,83,25
Trillium undulatum,Trillium undullatum,283,228,100,30,16
Salix fragilis,Salix fraggilis,53,117,149,185,151
Chamaedaphne calyculata,Chamaedaphne calyculatta,125,99,222,256,152
Andromeda glaucophylla,Andromeda glaucophyla,94,277,16,23,248
Kalmia polifolia,Kalmia polipholia,293,25,22,295,105
Smilacina trifolia,Smilacinna trifolia,123,78,142,202,29
Vaccinium myrtilloides,Vaccinium myrtilloidies,235,19,298,96,242
Aronia melanocarpa,Aronia melanokarpa,287,26,112,56,111
Ledum groenlandicum,Ledum greonlandicum,277,162,188,239,46
Gaylussacia baccata,Gaylussacia bacata,216,156,175,209,132
Kalmia angustifolia,Kalmia angustafolia,105,128,221,74,13
Calopogon pulchellus,Calopogon pulchelus,217,88,12,146,102
Spiraea alba,Spiraea albba,80,58,71,260,299
